nmin, minleaf, errorRate
1, 1, 0.0826086956521739
1, 2, 0.0746376811594203
1, 4, 0.0826086956521739
1, 8, 0.0884057971014492
1, 16, 0.102173913043478
1, 32, 0.123913043478261
1, 64, 0.105797101449275
1, 128, 0.142028985507246
1, 256, 0.151449275362319
1, 512, 0.18768115942029
1, 1024, 0.207971014492754
1, 2048, 0.343478260869565
1, 4096, 0.343478260869565
2, 1, 0.0826086956521739
2, 2, 0.0746376811594203
2, 4, 0.0826086956521739
2, 8, 0.0884057971014492
2, 16, 0.102173913043478
2, 32, 0.123913043478261
2, 64, 0.105797101449275
2, 128, 0.142028985507246
2, 256, 0.151449275362319
2, 512, 0.18768115942029
2, 1024, 0.207971014492754
2, 2048, 0.343478260869565
2, 4096, 0.343478260869565
4, 1, 0.0760869565217391
4, 2, 0.0753623188405798
4, 4, 0.0818840579710145
4, 8, 0.0891304347826087
4, 16, 0.103623188405797
4, 32, 0.12463768115942
4, 64, 0.106521739130435
4, 128, 0.143478260869565
4, 256, 0.151449275362319
4, 512, 0.18768115942029
4, 1024, 0.207971014492754
4, 2048, 0.342753623188406
4, 4096, 0.342753623188406
8, 1, 0.0768115942028985
8, 2, 0.072463768115942
8, 4, 0.0833333333333334
8, 8, 0.0891304347826087
8, 16, 0.102898550724638
8, 32, 0.121014492753623
8, 64, 0.104347826086956
8, 128, 0.142028985507246
8, 256, 0.150724637681159
8, 512, 0.18768115942029
8, 1024, 0.207971014492754
8, 2048, 0.343478260869565
8, 4096, 0.343478260869565
16, 1, 0.0804347826086956
16, 2, 0.0768115942028985
16, 4, 0.0818840579710145
16, 8, 0.0876811594202899
16, 16, 0.102898550724638
16, 32, 0.118840579710145
16, 64, 0.102898550724638
16, 128, 0.138405797101449
16, 256, 0.147101449275362
16, 512, 0.18768115942029
16, 1024, 0.207971014492754
16, 2048, 0.343478260869565
16, 4096, 0.343478260869565
32, 1, 0.0920289855072464
32, 2, 0.086231884057971
32, 4, 0.0949275362318841
32, 8, 0.0992753623188406
32, 16, 0.101449275362319
32, 32, 0.118840579710145
32, 64, 0.102898550724638
32, 128, 0.136231884057971
32, 256, 0.146376811594203
32, 512, 0.18768115942029
32, 1024, 0.208695652173913
32, 2048, 0.343478260869565
32, 4096, 0.343478260869565
64, 1, 0.0942028985507246
64, 2, 0.0884057971014492
64, 4, 0.0942028985507246
64, 8, 0.0971014492753624
64, 16, 0.102173913043478
64, 32, 0.108695652173913
64, 64, 0.102898550724638
64, 128, 0.134782608695652
64, 256, 0.143478260869565
64, 512, 0.18695652173913
64, 1024, 0.206521739130435
64, 2048, 0.352173913043478
64, 4096, 0.352173913043478
128, 1, 0.0978260869565217
128, 2, 0.0971014492753624
128, 4, 0.0992753623188406
128, 8, 0.103623188405797
128, 16, 0.109420289855072
128, 32, 0.111594202898551
128, 64, 0.103623188405797
128, 128, 0.134782608695652
128, 256, 0.142753623188406
128, 512, 0.185507246376812
128, 1024, 0.204347826086957
128, 2048, 0.348550724637681
128, 4096, 0.348550724637681
256, 1, 0.115942028985507
256, 2, 0.115217391304348
256, 4, 0.117391304347826
256, 8, 0.116666666666667
256, 16, 0.116666666666667
256, 32, 0.118840579710145
256, 64, 0.122463768115942
256, 128, 0.134782608695652
256, 256, 0.142753623188406
256, 512, 0.185507246376812
256, 1024, 0.205072463768116
256, 2048, 0.348550724637681
256, 4096, 0.348550724637681
512, 1, 0.115942028985507
512, 2, 0.115217391304348
512, 4, 0.117391304347826
512, 8, 0.116666666666667
512, 16, 0.116666666666667
512, 32, 0.118840579710145
512, 64, 0.122463768115942
512, 128, 0.134782608695652
512, 256, 0.142753623188406
512, 512, 0.185507246376812
512, 1024, 0.205797101449275
512, 2048, 0.347826086956522
512, 4096, 0.347826086956522
1024, 1, 0.128260869565217
1024, 2, 0.128260869565217
1024, 4, 0.127536231884058
1024, 8, 0.128260869565217
1024, 16, 0.128260869565217
1024, 32, 0.128260869565217
1024, 64, 0.134782608695652
1024, 128, 0.134782608695652
1024, 256, 0.185507246376812
1024, 512, 0.185507246376812
1024, 1024, 0.205797101449275
1024, 2048, 0.352173913043478
1024, 4096, 0.352173913043478
2048, 1, 0.134782608695652
2048, 2, 0.134782608695652
2048, 4, 0.134782608695652
2048, 8, 0.134782608695652
2048, 16, 0.134782608695652
2048, 32, 0.134782608695652
2048, 64, 0.134782608695652
2048, 128, 0.134782608695652
2048, 256, 0.185507246376812
2048, 512, 0.185507246376812
2048, 1024, 0.205797101449275
2048, 2048, 0.352173913043478
2048, 4096, 0.352173913043478
4096, 1, 0.400724637681159
4096, 2, 0.400724637681159
4096, 4, 0.400724637681159
4096, 8, 0.400724637681159
4096, 16, 0.400724637681159
4096, 32, 0.400724637681159
4096, 64, 0.400724637681159
4096, 128, 0.400724637681159
4096, 256, 0.400724637681159
4096, 512, 0.400724637681159
4096, 1024, 0.400724637681159
4096, 2048, 0.400724637681159
4096, 4096, 0.400724637681159
